timestamp,lap time,stroke count,stroke type
2024-10-22T01:04:46Z,00:00:14.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T01:07:23Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T01:09:32Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T16:52:14Z,00:00:36.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T16:54:23Z,00:00:22.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T16:55:47Z,00:00:31.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T16:57:59Z,00:00:25.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T16:59:33Z,00:00:21.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:01:28Z,00:00:20.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:02:46Z,00:00:42.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:05:23Z,00:00:38.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:07:56Z,00:00:31.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:09:18Z,00:00:47.000,16,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:10:48Z,00:00:51.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:11:57Z,00:00:49.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:13:46Z,00:00:41.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:14:47Z,00:00:38.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:16:32Z,00:00:54.000,20,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:18:02Z,00:00:49.000,18,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:19:18Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:19:35Z,00:00:36.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:23:01Z,00:00:55.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:27:55Z,00:00:56.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:29:36Z,00:00:48.000,13,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-22T17:32:16Z,00:00:31.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T17:51:53Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T18:32:57Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T18:49:41Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T18:51:14Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T19:03:27Z,00:00:20.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T19:04:29Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T19:12:23Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:38:36Z,00:00:28.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:45:30Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:49:11Z,00:00:54.000,15,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:51:21Z,00:00:48.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:53:41Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2024-10-23T20:57:20Z,00:00:38.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
